page_path,artifact_type,address_sha256,domain,protocol,path_category,query_present,head_status,cache_category,content_type_or_size,surface,included_in_fail_count,classification,observed_at
/ai-skills/a-skill,public_media,3C6A4573C4CEA7545AADEE8448EAAE1E30806896459FBE79C882BAE7AFCB12B8,enhe-ai-tools-1303691623.cos.ap-shanghai.myqcloud.com,https,cos_reference,False,403,absent,media/text_or_other,RSC_OR_SCRIPT,YES,public_value_observed_delivery_class_unconfirmed,2026-08-10T17:57:43.8626991Z
/ai-skills/a-skill,public_media,803C858DD9A8A5D081377B93216B27CC6582F6D44453F73CE57A6EE476CBD462,enhe-ai-tools-1303691623.cos.ap-shanghai.myqcloud.com,https,cos_reference,False,403,absent,media/text_or_other,RSC_OR_SCRIPT,YES,public_value_observed_delivery_class_unconfirmed,2026-08-10T17:57:43.8626991Z
/ai-skills/a-skill,public_media,875F966812EF84E6BA8CCB8C0F2D14D886A136620943C681056911D7FD9D0AE9,enhe-ai-tools-1303691623.cos.ap-shanghai.myqcloud.com,https,cos_reference,False,403,absent,media/text_or_other,RSC_OR_SCRIPT,YES,public_value_observed_delivery_class_unconfirmed,2026-08-10T17:57:43.8626991Z
/ai-skills/a-skill,public_media,886D81F39ADF530672B98B11BA4AD0F2F1CED505D6D73129FDFC87DA895CB74B,enhe-ai-tools-1303691623.cos.ap-shanghai.myqcloud.com,https,cos_reference,False,403,absent,media/text_or_other,RSC_OR_SCRIPT,YES,public_value_observed_delivery_class_unconfirmed,2026-08-10T17:57:43.8626991Z
/ai-skills/a-skill,public_media,97B86F833808C1DD005DA86197A1EFF79FD8E719C5D8CA171D501CB312E8581D,enhe-ai-tools-1303691623.cos.ap-shanghai.myqcloud.com,https,cos_reference,False,403,absent,media/text_or_other,RSC_OR_SCRIPT,YES,public_value_observed_delivery_class_unconfirmed,2026-08-10T17:57:43.8626991Z
/ai-skills/a-skill,public_media,A9B89065984C7E11A4F526C85E23D275C758C5C2DBFF13BE0B9983BD18E0F49E,enhe-ai-tools-1303691623.cos.ap-shanghai.myqcloud.com,https,cos_reference,False,403,absent,media/text_or_other,RSC_OR_SCRIPT,YES,public_value_observed_delivery_class_unconfirmed,2026-08-10T17:57:43.8626991Z
/ai-skills/seo-geo-skill,delivery_archive,F6A9B256600093E9F6F077BEA4A9995CD874F37188415A1659BFD1CA5BC36151,enhe-ai-tools-1303691623.cos.ap-shanghai.myqcloud.com,https,cos_archive,False,403,absent,archive/text_or_other,HTML_HREF+RSC,YES,object_key_exposed_classification_requires_file_inventory,2026-08-10T17:57:43.8626991Z
/ai-news/chatbox-to-personal-ai-companion-desktop-execution,external_archive_source,12F18EAF9C66F7EA10489C0F110F63801F756C6A2A2C4966CDBAB4C6B168BBF3,github.com,https,external_archive,False,404,private_or_no_cache,unknown,HTML_HREF+RSC,NO,external_source_not_proven_delivery,2026-08-10T17:57:43.8626991Z
/ai-news/chatbox-to-personal-ai-companion-desktop-execution,external_archive_source,AA1148D4B1E74AC84B0403A91A7D2F5D4DF8E2B84F7A5CB3D07A5B2E9FA7774D,github.com,https,external_archive,False,404,private_or_no_cache,size=9,HTML_HREF+RSC,NO,external_source_not_proven_delivery,2026-08-10T17:57:43.8626991Z
/skill-learning/ai-monetization-side-hustle-course,permanent_cloud_share,A82564F980CBF1A17FF8B5A792D7F9732AC9529BEECFEE847F2E172CDBBC8A35,pan.baidu.com,https,permanent_cloud_share,False,200,absent,unknown,RSC,YES,permanent_address_observed_delivery_classification_requires_file_inventory,2026-08-10T17:57:43.8626991Z
