"address_sha256","observed_page","observed_surface","artifact_type","domain_category","production_file_match","related_tool_slug","related_tool_status","is_download_paid","classification","required_action","owner","verification_status","notes"
"3C6A4573C4CEA7545AADEE8448EAAE1E30806896459FBE79C882BAE7AFCB12B8","/ai-skills/a-skill","RSC_OR_SCRIPT","public_media","cos_reference","NO_METADATA","","","","UNKNOWN_REQUIRES_OWNER","OWNER_CLASSIFY_AND_CONTAIN","storage_and_content_owner","OWNER_REQUIRED","Production File metadata unavailable; paid/free status not inferred."
"803C858DD9A8A5D081377B93216B27CC6582F6D44453F73CE57A6EE476CBD462","/ai-skills/a-skill","RSC_OR_SCRIPT","public_media","cos_reference","NO_METADATA","","","","UNKNOWN_REQUIRES_OWNER","OWNER_CLASSIFY_AND_CONTAIN","storage_and_content_owner","OWNER_REQUIRED","Production File metadata unavailable; paid/free status not inferred."
"875F966812EF84E6BA8CCB8C0F2D14D886A136620943C681056911D7FD9D0AE9","/ai-skills/a-skill","RSC_OR_SCRIPT","public_media","cos_reference","NO_METADATA","","","","UNKNOWN_REQUIRES_OWNER","OWNER_CLASSIFY_AND_CONTAIN","storage_and_content_owner","OWNER_REQUIRED","Production File metadata unavailable; paid/free status not inferred."
"886D81F39ADF530672B98B11BA4AD0F2F1CED505D6D73129FDFC87DA895CB74B","/ai-skills/a-skill","RSC_OR_SCRIPT","public_media","cos_reference","NO_METADATA","","","","UNKNOWN_REQUIRES_OWNER","OWNER_CLASSIFY_AND_CONTAIN","storage_and_content_owner","OWNER_REQUIRED","Production File metadata unavailable; paid/free status not inferred."
"97B86F833808C1DD005DA86197A1EFF79FD8E719C5D8CA171D501CB312E8581D","/ai-skills/a-skill","RSC_OR_SCRIPT","public_media","cos_reference","NO_METADATA","","","","UNKNOWN_REQUIRES_OWNER","OWNER_CLASSIFY_AND_CONTAIN","storage_and_content_owner","OWNER_REQUIRED","Production File metadata unavailable; paid/free status not inferred."
"A9B89065984C7E11A4F526C85E23D275C758C5C2DBFF13BE0B9983BD18E0F49E","/ai-skills/a-skill","RSC_OR_SCRIPT","public_media","cos_reference","NO_METADATA","","","","UNKNOWN_REQUIRES_OWNER","OWNER_CLASSIFY_AND_CONTAIN","storage_and_content_owner","OWNER_REQUIRED","Production File metadata unavailable; paid/free status not inferred."
"F6A9B256600093E9F6F077BEA4A9995CD874F37188415A1659BFD1CA5BC36151","/ai-skills/seo-geo-skill","HTML_HREF+RSC","delivery_archive","cos_archive","NO_METADATA","","","","UNKNOWN_REQUIRES_OWNER","OWNER_CLASSIFY_AND_CONTAIN","storage_and_content_owner","OWNER_REQUIRED","Production File metadata unavailable; paid/free status not inferred."
"12F18EAF9C66F7EA10489C0F110F63801F756C6A2A2C4966CDBAB4C6B168BBF3","/ai-news/chatbox-to-personal-ai-companion-desktop-execution","HTML_HREF+RSC","external_archive_source","external_archive","NO_METADATA","","","","EXTERNAL_SOURCE","NO_CONTAINMENT_ACTION_FOR_EXTERNAL_SOURCE","content_owner","CLASSIFIED_FROM_PUBLIC_EVIDENCE","External source reference; old scan excluded it from the delivery-leak fail count."
"AA1148D4B1E74AC84B0403A91A7D2F5D4DF8E2B84F7A5CB3D07A5B2E9FA7774D","/ai-news/chatbox-to-personal-ai-companion-desktop-execution","HTML_HREF+RSC","external_archive_source","external_archive","NO_METADATA","","","","EXTERNAL_SOURCE","NO_CONTAINMENT_ACTION_FOR_EXTERNAL_SOURCE","content_owner","CLASSIFIED_FROM_PUBLIC_EVIDENCE","External source reference; old scan excluded it from the delivery-leak fail count."
"A82564F980CBF1A17FF8B5A792D7F9732AC9529BEECFEE847F2E172CDBBC8A35","/skill-learning/ai-monetization-side-hustle-course","RSC","permanent_cloud_share","permanent_cloud_share","NO_METADATA","","","","UNKNOWN_REQUIRES_OWNER","OWNER_CLASSIFY_AND_CONTAIN","storage_and_content_owner","OWNER_REQUIRED","Production File metadata unavailable; paid/free status not inferred."
