"prisma_model","actual_table_name","column_name","data_type","nullable","candidate_url_field","candidate_public_content_field","notes"
"File","files","id","text","NO","NO","NO","Production information_schema observation."
"File","files","tool_id","text","YES","NO","NO","Production information_schema observation."
"File","files","file_name","text","NO","NO","NO","Production information_schema observation."
"File","files","file_path","text","NO","YES","NO","Production information_schema observation."
"File","files","file_url","text","YES","YES","NO","Production information_schema observation."
"File","files","file_size","bigint","YES","NO","NO","Production information_schema observation."
"File","files","version","text","YES","NO","NO","Production information_schema observation."
"File","files","mime_type","text","YES","NO","NO","Production information_schema observation."
"File","files","download_count","integer","NO","NO","NO","Production information_schema observation."
"File","files","created_at","timestamp without time zone","NO","NO","NO","Production information_schema observation."
"File","files","updated_at","timestamp without time zone","NO","NO","NO","Production information_schema observation."
"NewsArticle","news_articles","id","text","NO","NO","NO","Production information_schema observation."
"NewsArticle","news_articles","title","text","NO","NO","NO","Production information_schema observation."
"NewsArticle","news_articles","slug","text","NO","NO","NO","Production information_schema observation."
"NewsArticle","news_articles","subtitle","text","YES","NO","NO","Production information_schema observation."
"NewsArticle","news_articles","description","text","YES","YES","YES","Production information_schema observation."
"NewsArticle","news_articles","keywords","text","YES","NO","NO","Production information_schema observation."
"NewsArticle","news_articles","summary","text","NO","YES","YES","Production information_schema observation."
"NewsArticle","news_articles","content","text","NO","YES","YES","Production information_schema observation."
"NewsArticle","news_articles","cover_image","text","YES","YES","NO","Production information_schema observation."
"NewsArticle","news_articles","video_url","text","YES","YES","NO","Production information_schema observation."
"NewsArticle","news_articles","video_title","text","YES","YES","NO","Production information_schema observation."
"NewsArticle","news_articles","video_description","text","YES","YES","YES","Production information_schema observation."
"NewsArticle","news_articles","author","text","YES","NO","NO","Production information_schema observation."
"NewsArticle","news_articles","status","USER-DEFINED","NO","NO","NO","Production information_schema observation."
"NewsArticle","news_articles","category_id","text","YES","NO","NO","Production information_schema observation."
"NewsArticle","news_articles","published_at","timestamp without time zone","YES","NO","NO","Production information_schema observation."
"NewsArticle","news_articles","reading_time","integer","NO","NO","NO","Production information_schema observation."
"NewsArticle","news_articles","view_count","integer","NO","NO","NO","Production information_schema observation."
"NewsArticle","news_articles","like_count","integer","NO","NO","NO","Production information_schema observation."
"NewsArticle","news_articles","favorite_count","integer","NO","NO","NO","Production information_schema observation."
"NewsArticle","news_articles","is_featured","boolean","NO","NO","NO","Production information_schema observation."
"NewsArticle","news_articles","is_pinned","boolean","NO","NO","NO","Production information_schema observation."
"NewsArticle","news_articles","sort_order","integer","NO","NO","NO","Production information_schema observation."
"NewsArticle","news_articles","seo_title","text","YES","NO","NO","Production information_schema observation."
"NewsArticle","news_articles","seo_description","text","YES","YES","YES","Production information_schema observation."
"NewsArticle","news_articles","seo_keywords","text","YES","NO","NO","Production information_schema observation."
"NewsArticle","news_articles","canonical_url","text","YES","YES","NO","Production information_schema observation."
"NewsArticle","news_articles","key_takeaways","ARRAY","YES","NO","NO","Production information_schema observation."
"NewsArticle","news_articles","impact_notes","text","YES","NO","YES","Production information_schema observation."
"NewsArticle","news_articles","conclusion","text","YES","NO","NO","Production information_schema observation."
