"address_sha256","observed_page","artifact_type","production_match_count","source_model","source_field","related_tool_slug","related_tool_status","is_download_paid","price_state","visibility_state","classification_candidate","owner_decision_required","required_action","verification_status","notes"
"3C6A4573C4CEA7545AADEE8448EAAE1E30806896459FBE79C882BAE7AFCB12B8","/ai-skills/a-skill","public_media","0","","","","","","","","UNKNOWN_REQUIRES_OWNER","YES","OWNER_CLASSIFY_AND_TRACE_SOURCE","NO_DATABASE_MATCH","No hash match in permitted production public-content fields."
"803C858DD9A8A5D081377B93216B27CC6582F6D44453F73CE57A6EE476CBD462","/ai-skills/a-skill","public_media","0","","","","","","","","UNKNOWN_REQUIRES_OWNER","YES","OWNER_CLASSIFY_AND_TRACE_SOURCE","NO_DATABASE_MATCH","No hash match in permitted production public-content fields."
"875F966812EF84E6BA8CCB8C0F2D14D886A136620943C681056911D7FD9D0AE9","/ai-skills/a-skill","public_media","0","","","","","","","","UNKNOWN_REQUIRES_OWNER","YES","OWNER_CLASSIFY_AND_TRACE_SOURCE","NO_DATABASE_MATCH","No hash match in permitted production public-content fields."
"886D81F39ADF530672B98B11BA4AD0F2F1CED505D6D73129FDFC87DA895CB74B","/ai-skills/a-skill","public_media","0","","","","","","","","UNKNOWN_REQUIRES_OWNER","YES","OWNER_CLASSIFY_AND_TRACE_SOURCE","NO_DATABASE_MATCH","No hash match in permitted production public-content fields."
"97B86F833808C1DD005DA86197A1EFF79FD8E719C5D8CA171D501CB312E8581D","/ai-skills/a-skill","public_media","0","","","","","","","","UNKNOWN_REQUIRES_OWNER","YES","OWNER_CLASSIFY_AND_TRACE_SOURCE","NO_DATABASE_MATCH","No hash match in permitted production public-content fields."
"A9B89065984C7E11A4F526C85E23D275C758C5C2DBFF13BE0B9983BD18E0F49E","/ai-skills/a-skill","public_media","0","","","","","","","","UNKNOWN_REQUIRES_OWNER","YES","OWNER_CLASSIFY_AND_TRACE_SOURCE","NO_DATABASE_MATCH","No hash match in permitted production public-content fields."
"F6A9B256600093E9F6F077BEA4A9995CD874F37188415A1659BFD1CA5BC36151","/ai-skills/seo-geo-skill","delivery_archive","0","","","","","","","","UNKNOWN_REQUIRES_OWNER","YES","OWNER_CLASSIFY_AND_TRACE_SOURCE","NO_DATABASE_MATCH","No hash match in permitted production public-content fields."
"12F18EAF9C66F7EA10489C0F110F63801F756C6A2A2C4966CDBAB4C6B168BBF3","/ai-news/chatbox-to-personal-ai-companion-desktop-execution","external_archive_source","1","NewsExternalSource","url","","published","","UNKNOWN","PUBLIC","EXTERNAL_SOURCE","NO","RETAIN_AS_EXTERNAL_SOURCE_EVIDENCE","HASH_MATCHED_EXTERNAL_SOURCE","External source classification retained; it is not treated as a delivery leak."
"AA1148D4B1E74AC84B0403A91A7D2F5D4DF8E2B84F7A5CB3D07A5B2E9FA7774D","/ai-news/chatbox-to-personal-ai-companion-desktop-execution","external_archive_source","1","NewsExternalSource","url","","published","","UNKNOWN","PUBLIC","EXTERNAL_SOURCE","NO","RETAIN_AS_EXTERNAL_SOURCE_EVIDENCE","HASH_MATCHED_EXTERNAL_SOURCE","External source classification retained; it is not treated as a delivery leak."
"A82564F980CBF1A17FF8B5A792D7F9732AC9529BEECFEE847F2E172CDBBC8A35","/skill-learning/ai-monetization-side-hustle-course","permanent_cloud_share","0","","","","","","","","UNKNOWN_REQUIRES_OWNER","YES","OWNER_CLASSIFY_AND_TRACE_SOURCE","NO_DATABASE_MATCH","No hash match in permitted production public-content fields."
"2C625B9438D9D2FEA22A8825BAEECC0D871A82F6972D0B1FDCC332144A5688BE","/software/codex-api","permanent_cloud_share","0","","","","","","","","UNKNOWN_REQUIRES_OWNER","YES","OWNER_CLASSIFY_AND_TRACE_SOURCE","NO_DATABASE_MATCH","No hash match in permitted production public-content fields."
"709DE415072AEBDC9F0D6CEE3F387EE5EA9D0246637DC49DDFE18571EEEBBB7A","/software/codex-api","permanent_cloud_share","2","File","file_path;file_url","codex-api","published","false","FREE_FLAG","PUBLIC","FREE_PUBLIC_RESOURCE_CANDIDATE","YES","OWNER_CONFIRM_FREE_PUBLIC_INTENT_AND_DELIVERY_POLICY","HASH_MATCHED_OWNER_REQUIRED","Production hash match found; owner approval remains mandatory."
"816A43C0B438D3CB169E81B9855FA96DB872DC885C0A4F7575FDFE90E35D03D1","/software/zfb-transfer-link-qr-code-generator","permanent_cloud_share","0","","","","","","","","UNKNOWN_REQUIRES_OWNER","YES","OWNER_CLASSIFY_AND_TRACE_SOURCE","NO_DATABASE_MATCH","No hash match in permitted production public-content fields."
"9D7DBB08928138CE9863AEB56FF684B4D88B98E73D425DEB9C9C5DE818FD113C","/software/zfb-transfer-link-qr-code-generator","permanent_cloud_share","0","","","","","","","","UNKNOWN_REQUIRES_OWNER","YES","OWNER_CLASSIFY_AND_TRACE_SOURCE","NO_DATABASE_MATCH","No hash match in permitted production public-content fields."
"50C1B3BD1D880738FEDD63F903DDEDD1F3C25427508F451A304FF6F92F8C9FD7","/software/zfb-transfer-link-qr-code-generator","permanent_cloud_share","2","File","file_path;file_url","zfb","published","false","FREE_FLAG","PUBLIC","FREE_PUBLIC_RESOURCE_CANDIDATE","YES","OWNER_CONFIRM_FREE_PUBLIC_INTENT_AND_DELIVERY_POLICY","HASH_MATCHED_OWNER_REQUIRED","Production hash match found; owner approval remains mandatory."
"EBA9E0F1D281501B30C06E320A56AF549CDEF8D8F0FDD8BF91B7726A8ABBF052","/software/zfb-transfer-link-qr-code-generator","permanent_cloud_share","0","","","","","","","","UNKNOWN_REQUIRES_OWNER","YES","OWNER_CLASSIFY_AND_TRACE_SOURCE","NO_DATABASE_MATCH","No hash match in permitted production public-content fields."
"2D84C0834CC2BC317F42CE0F6DFF2F82F9D3789DF10CC4D5B564F5244D6C0119","/tutorials","permanent_cloud_share","0","","","","","","","","UNKNOWN_REQUIRES_OWNER","YES","OWNER_CLASSIFY_AND_TRACE_SOURCE","NO_DATABASE_MATCH","No hash match in permitted production public-content fields."
"68A85899912536D57F4CC6FE1F6D9C24574C1EE809DE90DA40E5F9273E99919D","/ai-skills/a-skill","parser_false_positive","0","","","","","","","","PARSER_FALSE_POSITIVE","NO","FIX_OR_DOCUMENT_PARSER_RULE","CLASSIFIED_FROM_PUBLIC_EVIDENCE","Known own-site media query source; not a delivery address."
