route,routeType,currentLayout,currentHeader,currentFooter,targetHeader,targetFooter,bodyReplacedThisPhase,metadataOwner,authBoundary,indexability,notes
/,public zh home,src/app/(zh-public)/layout.tsx,PublicSiteChrome -> SiteHeader,PublicSiteChrome -> SiteFooter,PublicSiteChrome -> EnheRedesignHeader,PublicSiteChrome -> EnheRedesignFooter,YES,src/app/(zh-public)/page.tsx -> generateHomePageMetadata,guest public,index,approved zh EnheRedesignHome
/en,public en home,src/app/en/layout.tsx,PublicSiteChrome -> SiteHeader,PublicSiteChrome -> SiteFooter,PublicSiteChrome -> EnheRedesignHeader,PublicSiteChrome -> EnheRedesignFooter,YES,src/app/en/page.tsx -> generateHomePageMetadata,guest public,index,approved en EnheRedesignHome
/software,public zh listing,src/app/(zh-public)/layout.tsx,PublicSiteChrome -> SiteHeader,PublicSiteChrome -> SiteFooter,PublicSiteChrome -> EnheRedesignHeader,PublicSiteChrome -> EnheRedesignFooter,NO,src/app/(zh-public)/software/page.tsx,guest public,index,body unchanged
/en/software,public en listing,src/app/en/layout.tsx,PublicSiteChrome -> SiteHeader,PublicSiteChrome -> SiteFooter,PublicSiteChrome -> EnheRedesignHeader,PublicSiteChrome -> EnheRedesignFooter,NO,src/app/en/software/page.tsx,guest public,index,body unchanged
/skill-learning,public zh listing,src/app/(zh-public)/layout.tsx,PublicSiteChrome -> SiteHeader,PublicSiteChrome -> SiteFooter,PublicSiteChrome -> EnheRedesignHeader,PublicSiteChrome -> EnheRedesignFooter,NO,src/app/(zh-public)/skill-learning/page.tsx,guest public,index,AI Skill dropdown remains two-item boundary
/en/skill-learning,public en listing,src/app/en/layout.tsx,PublicSiteChrome -> SiteHeader,PublicSiteChrome -> SiteFooter,PublicSiteChrome -> EnheRedesignHeader,PublicSiteChrome -> EnheRedesignFooter,NO,src/app/en/skill-learning/page.tsx,guest public,index,AI Skill dropdown remains two-item boundary
/ai-news,public zh listing,src/app/(zh-public)/layout.tsx,PublicSiteChrome -> SiteHeader,PublicSiteChrome -> SiteFooter,PublicSiteChrome -> EnheRedesignHeader,PublicSiteChrome -> EnheRedesignFooter,NO,src/app/(zh-public)/ai-news/page.tsx,guest public,index,body unchanged
/en/ai-news,public en listing,src/app/en/layout.tsx,PublicSiteChrome -> SiteHeader,PublicSiteChrome -> SiteFooter,PublicSiteChrome -> EnheRedesignHeader,PublicSiteChrome -> EnheRedesignFooter,NO,src/app/en/ai-news/page.tsx,guest public,index,body unchanged
/ai-trends,public zh listing,src/app/(zh-public)/layout.tsx,PublicSiteChrome -> SiteHeader,PublicSiteChrome -> SiteFooter,PublicSiteChrome -> EnheRedesignHeader,PublicSiteChrome -> EnheRedesignFooter,NO,src/app/(zh-public)/ai-trends/page.tsx,guest public,index,body unchanged
/en/ai-trends,public en listing,src/app/en/layout.tsx,PublicSiteChrome -> SiteHeader,PublicSiteChrome -> SiteFooter,PublicSiteChrome -> EnheRedesignHeader,PublicSiteChrome -> EnheRedesignFooter,NO,src/app/en/ai-trends/page.tsx,guest public,index,body unchanged
/about,public zh page,src/app/(zh-public)/layout.tsx,PublicSiteChrome -> SiteHeader,PublicSiteChrome -> SiteFooter,PublicSiteChrome -> EnheRedesignHeader,PublicSiteChrome -> EnheRedesignFooter,NO,src/app/(zh-public)/about/page.tsx,guest public,index,body unchanged
/en/about,public en page,src/app/en/layout.tsx,PublicSiteChrome -> SiteHeader,PublicSiteChrome -> SiteFooter,PublicSiteChrome -> EnheRedesignHeader,PublicSiteChrome -> EnheRedesignFooter,NO,src/app/en/about/page.tsx,guest public,index,body unchanged
/search,public zh search,src/app/(zh-public)/layout.tsx,PublicSiteChrome -> SiteHeader,PublicSiteChrome -> SiteFooter,PublicSiteChrome -> EnheRedesignHeader,PublicSiteChrome -> EnheRedesignFooter,NO,src/app/(zh-public)/search/page.tsx,guest public,index,body unchanged
/en/search,public en search,src/app/en/layout.tsx,PublicSiteChrome -> SiteHeader,PublicSiteChrome -> SiteFooter,PublicSiteChrome -> EnheRedesignHeader,PublicSiteChrome -> EnheRedesignFooter,NO,src/app/en/search/page.tsx,guest public,index,body unchanged
/login,auth zh,src/app/(auth)/layout.tsx,SiteHeader,SiteFooter,SiteHeader,SiteFooter,NO,src/app/(auth)/login/page.tsx,auth required,noindex,private auth layout unchanged
/en/login,auth en,src/app/en/(auth)/layout.tsx,SiteHeader,SiteFooter,SiteHeader,SiteFooter,NO,src/app/en/(auth)/login/page.tsx,auth required,noindex,private auth layout unchanged
/user,private user zh,src/app/user/layout.tsx,SiteHeader,SiteFooter,SiteHeader,SiteFooter,NO,src/app/user/page.tsx,auth required,noindex,private user layout unchanged
/en/user,private user en,src/app/en/user/layout.tsx,SiteHeader,SiteFooter,SiteHeader,SiteFooter,NO,src/app/en/user/page.tsx,auth required,noindex,private user layout unchanged
/orders,private order,src/app/orders/layout.tsx,SiteHeader,SiteFooter,SiteHeader,SiteFooter,NO,src/app/orders/[id]/page.tsx,auth required,noindex,private order layout unchanged
/payment,private payment,existing payment route,SiteHeader or route-owned,SiteFooter or route-owned,unchanged,unchanged,NO,route-owned,auth required,noindex,commerce out of scope
/admin,admin,src/app/admin/layout.tsx,SiteHeader,SiteFooter,SiteHeader,SiteFooter,NO,route-owned,server requireAdmin,noindex,admin boundary unchanged
/api,API,route-owned,none,none,none,none,NO,route-owned,server auth per route,not applicable,API boundary unchanged
