run,viewport,locale,path,pageKind,targetType,targetIndex,supportRect,targetRect,gap,intersection,verticalIntersection,targetClientWidth,targetScrollWidth,targetClientHeight,targetScrollHeight,rootOverflow,textClipped,supportMode,supportWidth,supportHeight,exclusionReserve,targetMarginInlineEnd,targetMarginInlineStart,targetPaddingInlineEnd,cardWidth,railWidth,gridWidth,layoutChanged,candidateCount,pass,repeatStable
1,481,zh,/software,software,new-releases,3,"{""left"":377,""right"":465,""top"":838,""bottom"":884,""width"":88,""height"":46}","{""left"":237.390625,""right"":336.1875,""top"":855.90625,""bottom"":899.90625,""width"":98.796875,""height"":44}",40.8125,0,28.09375,99,99,44,44,0,false,text,88,46,104,104,140,0,384.796875,1633,481,false,4,true,true
1,481,zh,/software,software,featured,2,"{""left"":377,""right"":465,""top"":838,""bottom"":884,""width"":88,""height"":46}","{""left"":182.0625,""right"":336.09375,""top"":855.578125,""bottom"":899.578125,""width"":154.03125,""height"":44}",40.90625,0,28.421875,154,154,44,44,0,false,text,88,46,104,104,104,0,404.03125,1288,481,false,3,true,true
1,481,zh,/software,software,all-products,0,"{""left"":377,""right"":465,""top"":838,""bottom"":884,""width"":88,""height"":46}","{""left"":41,""right"":336,""top"":856.046875,""bottom"":900.046875,""width"":295,""height"":44}",41,0,27.953125,295,295,44,44,0,false,text,88,46,104,104,0,0,441,0,441,false,12,true,true
1,481,zh,/software,software,load-more,0,"{""left"":377,""right"":465,""top"":838,""bottom"":884,""width"":88,""height"":46}","{""left"":20,""right"":122,""top"":853.5625,""bottom"":900.359375,""width"":102,""height"":46.796875}",255,0,30.4375,100,100,45,45,0,false,text,88,46,104,0,0,18,0,0,0,false,1,true,true
1,481,zh,/software,software,footer-link,0,"{""left"":377,""right"":465,""top"":838,""bottom"":884,""width"":88,""height"":46}","{""left"":20,""right"":357,""top"":855.765625,""bottom"":899.765625,""width"":337,""height"":44}",20,0,28.234375,337,337,44,44,0,false,text,88,46,104,0,0,0,0,0,0,false,13,true,true
1,482,zh,/software,software,new-releases,3,"{""left"":378,""right"":466,""top"":838,""bottom"":884,""width"":88,""height"":46}","{""left"":237.78125,""right"":337.375,""top"":856.359375,""bottom"":900.359375,""width"":99.59375,""height"":44}",40.625,0,27.640625,100,100,44,44,0,false,text,88,46,104,104,140,0,385.59375,1636,482,false,4,true,true
1,482,zh,/software,software,featured,2,"{""left"":378,""right"":466,""top"":838,""bottom"":884,""width"":88,""height"":46}","{""left"":181.75,""right"":336.625,""top"":855.5,""bottom"":899.5,""width"":154.875,""height"":44}",41.375,0,28.5,155,155,44,44,0,false,text,88,46,104,104,104,0,404.875,1291,482,false,3,true,true
1,482,zh,/software,software,all-products,0,"{""left"":378,""right"":466,""top"":838,""bottom"":884,""width"":88,""height"":46}","{""left"":41,""right"":337,""top"":855.53125,""bottom"":899.53125,""width"":296,""height"":44}",41,0,28.46875,296,296,44,44,0,false,text,88,46,104,104,0,0,442,0,442,false,12,true,true
1,482,zh,/software,software,load-more,0,"{""left"":378,""right"":466,""top"":838,""bottom"":884,""width"":88,""height"":46}","{""left"":20,""right"":122,""top"":853.234375,""bottom"":900.03125,""width"":102,""height"":46.796875}",256,0,30.765625,100,100,45,45,0,false,text,88,46,104,0,0,18,0,0,0,false,1,true,true
1,482,zh,/software,software,footer-link,0,"{""left"":378,""right"":466,""top"":838,""bottom"":884,""width"":88,""height"":46}","{""left"":20,""right"":358,""top"":856.4375,""bottom"":900.4375,""width"":338,""height"":44}",20,0,27.5625,338,338,44,44,0,false,text,88,46,104,0,0,0,0,0,0,false,13,true,true
