locale,path,page,viewport,cardIndex,pageCardCount,expectedPageCount,columns,isRightColumn,dataScope,exclusionReserve,marginInlineEnd,exclusionMissing,unexpectedExclusion,supportRect,actionRect,cardWidth,baselineCardWidth,baselineCardWidthMatch,gridWidth,baselineGridWidth,baselineGridWidthMatch,baselineSource,peerCardWidthMatch,gap,intersection,verticalIntersection,actionHeight,textClipped,href,rootOverflow,pass
zh,/software,1,320,1,12,12,1,true,all-products,52,52,false,false,"{""left"":260,""right"":304,""top"":784,""bottom"":828,""width"":44,""height"":44}","{""left"":41,""right"":227,""top"":799.734375,""bottom"":843.734375,""width"":186,""height"":44}",280,280,true,280,280,true,pre-implementation-capture,true,33,0,28.265625,44,false,/software/r4-safe-tool-01,0,true
zh,/software,1,320,2,12,12,1,true,all-products,52,52,false,false,"{""left"":260,""right"":304,""top"":784,""bottom"":828,""width"":44,""height"":44}","{""left"":41,""right"":227,""top"":800.21875,""bottom"":844.21875,""width"":186,""height"":44}",280,280,true,280,280,true,pre-implementation-capture,true,33,0,27.78125,44,false,/software/r4-safe-tool-02,0,true
zh,/software,1,320,3,12,12,1,true,all-products,52,52,false,false,"{""left"":260,""right"":304,""top"":784,""bottom"":828,""width"":44,""height"":44}","{""left"":41,""right"":227,""top"":799.703125,""bottom"":843.703125,""width"":186,""height"":44}",280,280,true,280,280,true,pre-implementation-capture,true,33,0,28.296875,44,false,/software/r4-safe-tool-03,0,true
zh,/software,1,320,4,12,12,1,true,all-products,52,52,false,false,"{""left"":260,""right"":304,""top"":784,""bottom"":828,""width"":44,""height"":44}","{""left"":41,""right"":227,""top"":800.1875,""bottom"":844.1875,""width"":186,""height"":44}",280,280,true,280,280,true,pre-implementation-capture,true,33,0,27.8125,44,false,/software/r4-safe-tool-04,0,true
zh,/software,1,320,5,12,12,1,true,all-products,52,52,false,false,"{""left"":260,""right"":304,""top"":784,""bottom"":828,""width"":44,""height"":44}","{""left"":41,""right"":227,""top"":799.671875,""bottom"":843.671875,""width"":186,""height"":44}",280,280,true,280,280,true,pre-implementation-capture,true,33,0,28.328125,44,false,/software/r4-safe-tool-05,0,true
zh,/software,1,320,6,12,12,1,true,all-products,52,52,false,false,"{""left"":260,""right"":304,""top"":784,""bottom"":828,""width"":44,""height"":44}","{""left"":41,""right"":227,""top"":800.15625,""bottom"":844.15625,""width"":186,""height"":44}",280,280,true,280,280,true,pre-implementation-capture,true,33,0,27.84375,44,false,/software/r4-safe-tool-06,0,true
zh,/software,1,320,7,12,12,1,true,all-products,52,52,false,false,"{""left"":260,""right"":304,""top"":784,""bottom"":828,""width"":44,""height"":44}","{""left"":41,""right"":227,""top"":799.640625,""bottom"":843.640625,""width"":186,""height"":44}",280,280,true,280,280,true,pre-implementation-capture,true,33,0,28.359375,44,false,/software/r4-safe-tool-07,0,true
zh,/software,1,320,8,12,12,1,true,all-products,52,52,false,false,"{""left"":260,""right"":304,""top"":784,""bottom"":828,""width"":44,""height"":44}","{""left"":41,""right"":227,""top"":800.125,""bottom"":844.125,""width"":186,""height"":44}",280,280,true,280,280,true,pre-implementation-capture,true,33,0,27.875,44,false,/software/r4-safe-tool-08,0,true
zh,/software,1,320,9,12,12,1,true,all-products,52,52,false,false,"{""left"":260,""right"":304,""top"":784,""bottom"":828,""width"":44,""height"":44}","{""left"":41,""right"":227,""top"":799.609375,""bottom"":843.609375,""width"":186,""height"":44}",280,280,true,280,280,true,pre-implementation-capture,true,33,0,28.390625,44,false,/software/r4-safe-tool-09,0,true
zh,/software,1,320,10,12,12,1,true,all-products,52,52,false,false,"{""left"":260,""right"":304,""top"":784,""bottom"":828,""width"":44,""height"":44}","{""left"":41,""right"":227,""top"":800.09375,""bottom"":844.09375,""width"":186,""height"":44}",280,280,true,280,280,true,pre-implementation-capture,true,33,0,27.90625,44,false,/software/r4-safe-tool-10,0,true
