locale,viewport,section,cardIndex,cardCount,layout,columns,exclusionExpected,exclusionReserve,marginInlineStart,marginInlineEnd,exclusionMatch,supportRect,actionRect,cardWidth,railClientWidth,railScrollWidth,scrollSnapType,cardScrollSnapAlign,baselineCardWidth,baselineCardWidthMatch,baselineRailWidth,baselineRailWidthMatch,baselineSource,gap,intersection,verticalIntersection,actionHeight,textClipped,keyboardLeftWorked,keyboardRightWorked,idleScrollPosition,rootOverflow,pass,idleScrollAfter,noAutoScroll
zh,320,new-releases,1,4,flex,1,true,52,52,52,true,"{""left"":260,""right"":304,""top"":784,""bottom"":828,""width"":44,""height"":44}","{""left"":93,""right"":203,""top"":791.046875,""bottom"":835.046875,""width"":110,""height"":44}",256,320,1118,x mandatory,start,256,true,1118,true,pre-implementation-capture,57,0,36.953125,44,false,true,true,0,0,true,0,true
zh,320,new-releases,2,4,flex,1,true,52,52,52,true,"{""left"":260,""right"":304,""top"":784,""bottom"":828,""width"":44,""height"":44}","{""left"":93,""right"":203,""top"":800.046875,""bottom"":844.046875,""width"":110,""height"":44}",256,320,1118,x mandatory,start,256,true,1118,true,pre-implementation-capture,57,0,27.953125,44,false,true,true,274,0,true,274,true
zh,320,new-releases,3,4,flex,1,true,52,52,52,true,"{""left"":260,""right"":304,""top"":784,""bottom"":828,""width"":44,""height"":44}","{""left"":93,""right"":203,""top"":800.046875,""bottom"":844.046875,""width"":110,""height"":44}",256,320,1118,x mandatory,start,256,true,1118,true,pre-implementation-capture,57,0,27.953125,44,false,true,true,548,0,true,548,true
zh,320,new-releases,4,4,flex,1,true,52,52,52,true,"{""left"":260,""right"":304,""top"":784,""bottom"":828,""width"":44,""height"":44}","{""left"":117,""right"":227,""top"":800.046875,""bottom"":844.046875,""width"":110,""height"":44}",256,320,1118,x mandatory,start,256,true,1118,true,pre-implementation-capture,33,0,27.953125,44,false,true,true,798,0,true,798,true
zh,320,featured-products,1,3,flex,1,true,52,52,52,true,"{""left"":260,""right"":304,""top"":784,""bottom"":828,""width"":44,""height"":44}","{""left"":93,""right"":215.796875,""top"":709.828125,""bottom"":753.828125,""width"":122.796875,""height"":44}",268.796875,320,882,x mandatory,start,268.796875,true,882,true,pre-implementation-capture,44.203125,0,0,44,false,true,true,0,0,true,0,true
zh,320,featured-products,2,3,flex,1,true,52,52,52,true,"{""left"":260,""right"":304,""top"":784,""bottom"":828,""width"":44,""height"":44}","{""left"":92.796875,""right"":215.59375,""top"":799.828125,""bottom"":843.828125,""width"":122.796875,""height"":44}",268.796875,320,882,x mandatory,start,268.796875,true,882,true,pre-implementation-capture,44.40625,0,28.171875,44,false,true,true,287,0,true,287,true
zh,320,featured-products,3,3,flex,1,true,52,52,52,true,"{""left"":260,""right"":304,""top"":784,""bottom"":828,""width"":44,""height"":44}","{""left"":104.59375,""right"":227.390625,""top"":799.828125,""bottom"":843.828125,""width"":122.796875,""height"":44}",268.796875,320,882,x mandatory,start,268.796875,true,882,true,pre-implementation-capture,32.609375,0,28.171875,44,false,true,true,562,0,true,562,true
zh,390,new-releases,1,4,flex,1,true,52,52,52,true,"{""left"":330,""right"":374,""top"":784,""bottom"":828,""width"":44,""height"":44}","{""left"":93,""right"":259,""top"":791.359375,""bottom"":835.359375,""width"":166,""height"":44}",312,390,1342,x mandatory,start,312,true,1342,true,pre-implementation-capture,71,0,36.640625,44,false,true,true,0,0,true,0,true
zh,390,new-releases,2,4,flex,1,true,52,52,52,true,"{""left"":330,""right"":374,""top"":784,""bottom"":828,""width"":44,""height"":44}","{""left"":93,""right"":259,""top"":800.359375,""bottom"":844.359375,""width"":166,""height"":44}",312,390,1342,x mandatory,start,312,true,1342,true,pre-implementation-capture,71,0,27.640625,44,false,true,true,330,0,true,330,true
zh,390,new-releases,3,4,flex,1,true,52,52,52,true,"{""left"":330,""right"":374,""top"":784,""bottom"":828,""width"":44,""height"":44}","{""left"":93,""right"":259,""top"":800.359375,""bottom"":844.359375,""width"":166,""height"":44}",312,390,1342,x mandatory,start,312,true,1342,true,pre-implementation-capture,71,0,27.640625,44,false,true,true,660,0,true,660,true
