"run","viewport","locale","path","pageKind","targetType","targetIndex","supportRect","targetRect","gap","intersection","verticalIntersection","targetClientWidth","targetScrollWidth","targetClientHeight","targetScrollHeight","rootOverflow","textClipped","supportMode","supportWidth","supportHeight","exclusionReserve","targetMarginInlineEnd","targetMarginInlineStart","targetPaddingInlineEnd","cardWidth","railWidth","gridWidth","layoutChanged","candidateCount","pass","repeatStable"
"1","320","zh","/software","software","new-releases","3","{""left"":260,""right"":304,""top"":784,""bottom"":828,""width"":44,""height"":44}","{""left"":117,""right"":227,""top"":800.046875,""bottom"":844.046875,""width"":110,""height"":44}","33","0","27.953125","110","110","44","44","0","false","icon","44","44","52","52","52","0","256","1118","320","false","4","true","true"
"1","320","zh","/software","software","featured","2","{""left"":260,""right"":304,""top"":784,""bottom"":828,""width"":44,""height"":44}","{""left"":104.59375,""right"":227.390625,""top"":799.828125,""bottom"":843.828125,""width"":122.796875,""height"":44}","32.609375","0","28.171875","123","123","44","44","0","false","icon","44","44","52","52","52","0","268.796875","882","320","false","3","true","true"
"1","320","zh","/software","software","all-products","0","{""left"":260,""right"":304,""top"":784,""bottom"":828,""width"":44,""height"":44}","{""left"":41,""right"":227,""top"":799.734375,""bottom"":843.734375,""width"":186,""height"":44}","33","0","28.265625","186","186","44","44","0","false","icon","44","44","52","52","0","0","280","0","280","false","12","true","true"
"1","320","zh","/software","software","load-more","0","{""left"":260,""right"":304,""top"":784,""bottom"":828,""width"":44,""height"":44}","{""left"":20,""right"":122,""top"":797.0625,""bottom"":843.859375,""width"":102,""height"":46.796875}","138","0","30.9375","100","100","45","45","0","false","icon","44","44","52","0","0","18","0","0","0","false","1","true","true"
"1","320","zh","/software","software","footer-link","0","{""left"":260,""right"":304,""top"":784,""bottom"":828,""width"":44,""height"":44}","{""left"":20,""right"":248,""top"":799.859375,""bottom"":843.859375,""width"":228,""height"":44}","12","0","28.140625","228","228","44","44","0","false","icon","44","44","52","0","0","0","0","0","0","false","13","true","true"
"1","360","zh","/software","software","new-releases","3","{""left"":300,""right"":344,""top"":784,""bottom"":828,""width"":44,""height"":44}","{""left"":125,""right"":267,""top"":799.859375,""bottom"":843.859375,""width"":142,""height"":44}","33","0","28.140625","142","142","44","44","0","false","icon","44","44","52","52","52","0","288","1246","360","false","4","true","true"
"1","360","zh","/software","software","featured","2","{""left"":300,""right"":344,""top"":784,""bottom"":828,""width"":44,""height"":44}","{""left"":110.78125,""right"":267.171875,""top"":800.359375,""bottom"":844.359375,""width"":156.390625,""height"":44}","32.828125","0","27.640625","156","156","44","44","0","false","icon","44","44","52","52","52","0","302.390625","983","360","false","3","true","true"
"1","360","zh","/software","software","all-products","0","{""left"":300,""right"":344,""top"":784,""bottom"":828,""width"":44,""height"":44}","{""left"":41,""right"":267,""top"":799.765625,""bottom"":843.765625,""width"":226,""height"":44}","33","0","28.234375","226","226","44","44","0","false","icon","44","44","52","52","0","0","320","0","320","false","12","true","true"
"1","360","zh","/software","software","load-more","0","{""left"":300,""right"":344,""top"":784,""bottom"":828,""width"":44,""height"":44}","{""left"":20,""right"":122,""top"":797.59375,""bottom"":844.390625,""width"":102,""height"":46.796875}","178","0","30.40625","100","100","45","45","0","false","icon","44","44","52","0","0","18","0","0","0","false","1","true","true"
"1","360","zh","/software","software","footer-link","0","{""left"":300,""right"":344,""top"":784,""bottom"":828,""width"":44,""height"":44}","{""left"":20,""right"":288,""top"":799.796875,""bottom"":843.796875,""width"":268,""height"":44}","12","0","28.203125","268","268","44","44","0","false","icon","44","44","52","0","0","0","0","0","0","false","13","true","true"
"1","390","zh","/software","software","new-releases","3","{""left"":330,""right"":374,""top"":784,""bottom"":828,""width"":44,""height"":44}","{""left"":131,""right"":297,""top"":800.359375,""bottom"":844.359375,""width"":166,""height"":44}","33","0","27.640625","166","166","44","44","0","false","icon","44","44","52","52","52","0","312","1342","390","false","4","true","true"
"1","390","zh","/software","software","featured","2","{""left"":330,""right"":374,""top"":784,""bottom"":828,""width"":44,""height"":44}","{""left"":115.1875,""right"":296.78125,""top"":800.03125,""bottom"":844.03125,""width"":181.59375,""height"":44}","33.21875","0","27.96875","182","182","44","44","0","false","icon","44","44","52","52","52","0","327.59375","1059","390","false","3","true","true"
"1","390","zh","/software","software","all-products","0","{""left"":330,""right"":374,""top"":784,""bottom"":828,""width"":44,""height"":44}","{""left"":41,""right"":297,""top"":800.3125,""bottom"":844.3125,""width"":256,""height"":44}","33","0","27.6875","256","256","44","44","0","false","icon","44","44","52","52","0","0","350","0","350","false","12","true","true"
"1","390","zh","/software","software","load-more","0","{""left"":330,""right"":374,""top"":784,""bottom"":828,""width"":44,""height"":44}","{""left"":20,""right"":122,""top"":796.765625,""bottom"":843.5625,""width"":102,""height"":46.796875}","208","0","31.234375","100","100","45","45","0","false","icon","44","44","52","0","0","18","0","0","0","false","1","true","true"
"1","390","zh","/software","software","footer-link","0","{""left"":330,""right"":374,""top"":784,""bottom"":828,""width"":44,""height"":44}","{""left"":20,""right"":318,""top"":799.96875,""bottom"":843.96875,""width"":298,""height"":44}","12","0","28.03125","298","298","44","44","0","false","icon","44","44","52","0","0","0","0","0","0","false","13","true","true"
"1","480","zh","/software","software","new-releases","3","{""left"":420,""right"":464,""top"":784,""bottom"":828,""width"":44,""height"":44}","{""left"":149,""right"":387,""top"":800.46875,""bottom"":844.46875,""width"":238,""height"":44}","33","0","27.53125","238","238","44","44","0","false","icon","44","44","52","52","52","0","384","1630","480","false","4","true","true"
"1","480","zh","/software","software","featured","2","{""left"":420,""right"":464,""top"":784,""bottom"":828,""width"":44,""height"":44}","{""left"":129.375,""right"":386.5625,""top"":799.65625,""bottom"":843.65625,""width"":257.1875,""height"":44}","33.4375","0","28.34375","257","257","44","44","0","false","icon","44","44","52","52","52","0","403.1875","1286","480","false","3","true","true"
"1","480","zh","/software","software","all-products","0","{""left"":420,""right"":464,""top"":784,""bottom"":828,""width"":44,""height"":44}","{""left"":41,""right"":387,""top"":799.5625,""bottom"":843.5625,""width"":346,""height"":44}","33","0","28.4375","346","346","44","44","0","false","icon","44","44","52","52","0","0","440","0","440","false","12","true","true"
"1","480","zh","/software","software","load-more","0","{""left"":420,""right"":464,""top"":784,""bottom"":828,""width"":44,""height"":44}","{""left"":20,""right"":122,""top"":796.890625,""bottom"":843.6875,""width"":102,""height"":46.796875}","298","0","31.109375","100","100","45","45","0","false","icon","44","44","52","0","0","18","0","0","0","false","1","true","true"
"1","480","zh","/software","software","footer-link","0","{""left"":420,""right"":464,""top"":784,""bottom"":828,""width"":44,""height"":44}","{""left"":20,""right"":408,""top"":799.5,""bottom"":843.5,""width"":388,""height"":44}","12","0","28.5","388","388","44","44","0","false","icon","44","44","52","0","0","0","0","0","0","false","13","true","true"
